Year,MSHA_ID,mine_name,mine_type,mstafips,state,county,mctyfips,lat,lon,production
2018,3608745,Stockton Mine,Surface,42,Pennsylvania,Luzerne,79,40.963333,-75.925,25779
2018,1519432,Four Mile,Surface,21,Kentucky,Bell,13,36.811825,-83.733825,25630
2018,1519627,Flag Ridge Job,Surface,21,Kentucky,Knox,121,36.706536,-83.921825,25019
2018,3609355,Penfield Mine,Underground,42,Pennsylvania,Clearfield,33,41.233889,-78.611389,24725
2018,3609548,Trevorton Strip,Surface,42,Pennsylvania,Northumberland,97,40.765555,-76.680833,24648
2018,3609304,Park Mine Coal Company,Surface,42,Pennsylvania,Schuylkill,107,40.832222,-76.123889,24248
2018,1103247,Delta Carbon Project,Surface,17,Illinois,Saline,165,37.758889,-82.704167,24176
2018,1518454,Auger Mine No 29,Surface,21,Kentucky,Perry,193,37.678056,-83.057222,23192
2018,3609308,Cresson,Underground,42,Pennsylvania,Cambria,21,40.4425,-78.605556,22828
2018,3609322,West End,Surface,42,Pennsylvania,Northumberland,97,40.781944,-76.608611,22688
2018,4608921,Surface Mine No. 7,Surface,54,West Virginia,Boone,5,37.952956,-81.662261,22506
2018,3607240,E O J Strip Mine,Surface,42,Pennsylvania,Schuylkill,107,40.708354,-76.111387,22302
2018,4609052,Bam 7 Auger,Surface,54,West Virginia,Fayette,19,38.394097,-80.738368,21990
2018,4406920,Hiram Fork,Underground,51,Virginia,Buchanan,27,37.349167,-82.002222,21928
2018,1519722,No. 11 Allen Branch Job,Surface,21,Kentucky,Pike,195,37.449693,-82.143315,21762
2018,3609840,Allegheny Strips,Surface,42,Pennsylvania,Armstrong,5,40.452778,-79.174444,21509
2018,1518277,K-3,Underground,21,Kentucky,Harlan,95,36.911542,-83.090313,20725
2018,103516,No Business Creek Mine,Surface,1,Alabama,Walker,127,33.849444,-87.766944,20665
2018,3609888,Wilson Creek Surface Mines,Surface,42,Pennsylvania,Somerset,111,40.112142,-79.051182,20486
2018,1516855,#2,Underground,21,Kentucky,Pike,195,37.566389,-82.526389,19409
2018,3601818,R S & W Drift,Underground,42,Pennsylvania,Schuylkill,107,40.666944,-76.235833,19350
2018,3609131,Sherpa Mining,Surface,42,Pennsylvania,Somerset,111,40.154606,-78.857396,19211
2018,1519758,Addcar #2,Surface,54,West Virginia,Mcdowell,47,37.426667,-82.930833,18641
2018,1519829,Razorblade Surface,Surface,21,Kentucky,Letcher,133,37.238889,-82.781111,18425
2018,4609409,Shm 12-66,Surface,54,West Virginia,Raleigh,81,37.810347,-82.156553,18404
2018,1518029,No 2,Surface,21,Kentucky,Pike,195,37.428333,-82.429444,17332
2018,1518442,Auger Mine No 28,Surface,21,Kentucky,Magoffin,153,37.674013,-83.058884,16679
2018,3607437,Rochester Mills Strip Mine,Surface,42,Pennsylvania,Indiana,63,40.766395,-79.010163,16426
2018,3605518,Eagle Hill Strip,Surface,42,Pennsylvania,Schuylkill,107,40.697222,-76.143888,16407
2018,103393,Buttahatchee Mine No 1,Surface,1,Alabama,Marion,93,34.123888,-87.650833,15618
2018,3607730,Serill Strip,Surface,42,Pennsylvania,Schuylkill,107,40.704722,-76.282777,15578
2018,4604670,Hobet Mine,Surface,54,West Virginia,Boone,5,38.113179,-81.855157,15545
2018,1519689,No 24,Surface,21,Kentucky,Pike,195,37.4352,-82.437228,15253
2018,3608422,Clearfield Co Strips,Surface,42,Pennsylvania,Clearfield,33,40.981944,-78.661111,15112
2018,1519752,2a,Underground,21,Kentucky,Floyd,71,37.567778,-82.660556,15068
2018,4602380,Bishop Impoundment Area,Surface,54,West Virginia,Mcdowell,47,37.229323,-81.550633,15000
2018,3609383,3119,Surface,54,West Virginia,Monongalia,61,39.396828,-79.170804,14750
2018,1518973,No. 2,Underground,21,Kentucky,Pike,195,37.514722,-82.211944,14675
2018,3610185,Elk Resources Auger Crew 1,Surface,42,Pennsylvania,Somerset,111,40.114167,-78.844722,14276
2018,3601734,Jeddo Basin (J-44),Surface,42,Pennsylvania,Luzerne,79,40.82419,-75.929086,13893
2018,3609886,Solomon Run  Mine,Surface,42,Pennsylvania,Cambria,21,40.307222,-78.850833,13886
2018,3608517,"Adc, Inc Pit 008",Surface,42,Pennsylvania,Westmoreland,129,40.234043,-79.754862,13813
2018,4609519,Sewell Valley #2,Surface,54,West Virginia,Greenbrier,25,38.045833,-80.763056,13620
2018,3609435,Williamstown Mine #1,Underground,42,Pennsylvania,Dauphin,43,40.594722,-76.586666,13216
2018,3609287,Lowry Mine,Underground,42,Pennsylvania,Indiana,63,40.571667,-79.123333,12894
2018,4402277,Rcr #1,Surface,51,Virginia,Russell,167,36.952778,-82.186111,12829
2018,1519140,Auger No 1  Sn #11,Surface,21,Kentucky,Pike,195,37.113333,-82.958889,12817
2018,3606586,Waroquier #1,Surface,42,Pennsylvania,Clearfield,33,40.975762,-78.475407,12777
2018,3609843,Atlas Anthracite Coal Corporat,Surface,42,Pennsylvania,Northumberland,97,40.798333,-76.424444,12762
2018,1518538,Auger Mine No. 34,Surface,21,Kentucky,Pike,195,37.672242,-83.059209,12743
2018,3601877,K K Strip,Surface,42,Pennsylvania,Schuylkill,107,40.714166,-76.1675,12595
2018,1519536,Joes Run Auger No. 26,Surface,21,Kentucky,Daviess,59,37.143056,-82.821389,12232
2018,3609545,Mustang Stripping,Surface,42,Pennsylvania,Northumberland,97,40.815,-76.478333,11961
2018,4609535,Springdale,Surface,54,West Virginia,Raleigh,81,37.916111,-81.316389,11928
2018,4407260,Mine No. 4,Surface,51,Virginia,Dickenson,51,38.710833,-82.394444,11825
2018,4003467,Valley Creek Mine #1,Surface,47,Tennessee,Claiborne,25,36.541944,-83.851667,11727
2018,3608391,Glen Lyon Operation,Surface,42,Pennsylvania,Luzerne,79,41.157222,-76.081388,11167
2018,103503,Lolley Mine No. 1,Underground,1,Alabama,Shelby,117,33.198056,-86.941389,11091
2018,1800765,No. 1 Surface,Surface,24,Maryland,Garrett,23,39.495331,-79.06146,11051
2018,1507010,Point Rock Mine,Surface,21,Kentucky,Pike,195,37.533056,-82.166389,10888
2018,3604782,Worthville Mine,Surface,42,Pennsylvania,Jefferson,65,40.9378,-79.975424,10852
2018,3608684,Hynoski Bros Shenandoah Strip,Surface,42,Pennsylvania,Schuylkill,107,40.816666,-76.233888,10851
2018,1519609,Kentucky Energy Llc Job #2,Surface,21,Kentucky,Lawrence,127,38.029738,-82.970567,10283
2018,3609203,3140,Surface,24,Maryland,Garrett,23,40.378528,-78.809616,10280
2018,4609096,Pocahontas Highwall Mine,Surface,54,West Virginia,Raleigh,81,37.608056,-81.282778,10178
2018,1519268,Mine #3,Surface,21,Kentucky,Bell,13,36.635833,-83.803333,9915
2018,1517871,Oam#40,Surface,21,Kentucky,Whitley,235,36.787039,-84.054641,9851
2018,3609651,Clearfield County Strips,Surface,42,Pennsylvania,Clearfield,33,41.036854,-78.724458,9778
2018,1519760,Job #58,Surface,21,Kentucky,Pike,195,37.253472,-82.683734,9769
2018,3302565,Dundas Job,Surface,39,Ohio,Vinton,163,39.148957,-82.431853,9764
2018,1519313,Carnegie Mine,Underground,21,Kentucky,Pike,195,37.534167,-82.316389,9748
2018,3609187,Auger No 3132,Surface,42,Pennsylvania,Cambria,21,40.40731,-78.810946,9557
2018,3607636,Mid Port Strip,Surface,42,Pennsylvania,Schuylkill,107,40.738888,-76.124722,9527
2018,4609340,Horse Creek No. 2,Underground,54,West Virginia,Mcdowell,47,37.4575,-81.855556,9518
2018,3608841,Logansport Mine,Underground,42,Pennsylvania,Armstrong,5,40.733056,-79.5825,9496
2018,3609183,Auger #1,Surface,42,Pennsylvania,Cambria,21,40.680056,-78.469344,9385
2018,3609475,No 13 Slope,Underground,42,Pennsylvania,Northumberland,97,40.778333,-76.647222,9381
2018,3610138,Hazleton Materials,Surface,42,Pennsylvania,Luzerne,79,40.995556,-75.838333,9266
2018,3608679,No 5 Vein,Underground,42,Pennsylvania,Schuylkill,107,40.587222,-76.45,9208
